May 29, 2017 8:34:10 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
May 29, 2017 8:34:10 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
May 29, 2017 8:34:10 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/lliao/source/xipki/dist/xipki-pki/xipki-pki-2.2.0-SNAPSHOT/lock
May 29, 2017 8:34:10 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
May 29, 2017 8:34:10 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-05-29 08:34:10,405 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.xipki.pki.ocsp.server.cfg
2017-05-29 08:34:10,411 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.karaf.command.acl.bundle.cfg
2017-05-29 08:34:10,413 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.felix.eventadmin.impl.EventAdmin.cfg
2017-05-29 08:34:10,417 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from jmx.acl.cfg
2017-05-29 08:34:10,420 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.karaf.command.acl.jaas.cfg
2017-05-29 08:34:10,423 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.karaf.command.acl.config.cfg
2017-05-29 08:34:10,427 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.felix.fileinstall-deploy.cfg
2017-05-29 08:34:10,431 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from jmx.acl.osgi.compendium.cm.cfg
2017-05-29 08:34:10,436 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.karaf.features.repos.cfg
2017-05-29 08:34:10,440 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.xipki.commons.security.cfg
2017-05-29 08:34:10,444 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.ops4j.pax.url.mvn.cfg
2017-05-29 08:34:10,448 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.karaf.command.acl.scope_bundle.cfg
2017-05-29 08:34:10,451 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.xipki.pki.ca.server.cfg
2017-05-29 08:34:10,454 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.apache.karaf.features.cfg
2017-05-29 08:34:10,456 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 4   - elix.fileinstall | Creating configuration from org.xipki.commons.password.cfg
2017-05-29 08:34:10,500 | INFO  | lixDispatchQueue | Main                             | pache.karaf.main.StartupListener   94 |     -                  | Karaf started in 0s. Bundle stats: 9 active, 9 total
2017-05-29 08:34:11,053 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core | Adding features: instance/[4.0.8,4.0.8], package/[4.0.8,4.0.8], log/[4.0.8,4.0.8], ssh/[4.0.8,4.0.8], aries-blueprint/[4.0.8,4.0.8], framework/[4.0.8,4.0.8], system/[4.0.8,4.0.8], feature/[4.0.8,4.0.8], shell/[4.0.8,4.0.8], management/[4.0.8,4.0.8], service/[4.0.8,4.0.8], jaas/[4.0.8,4.0.8], shell-compat/[4.0.8,4.0.8], deployer/[4.0.8,4.0.8], diagnostic/[4.0.8,4.0.8], wrap/[0,0.0.0], bundle/[4.0.8,4.0.8], config/[4.0.8,4.0.8], kar/[4.0.8,4.0.8]
2017-05-29 08:34:11,362 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core | Changes to perform:
2017-05-29 08:34:11,363 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   Region: root
2017-05-29 08:34:11,363 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |     Bundles to install:
2017-05-29 08:34:11,364 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:jline/jline/2.14.1
2017-05-29 08:34:11,364 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2017-05-29 08:34:11,364 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.0.9
2017-05-29 08:34:11,364 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.7.1
2017-05-29 08:34:11,368 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2017-05-29 08:34:11,369 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2017-05-29 08:34:11,370 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2017-05-29 08:34:11,370 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2017-05-29 08:34:11,371 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2017-05-29 08:34:11,371 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2017-05-29 08:34:11,372 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2017-05-29 08:34:11,373 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2017-05-29 08:34:11,374 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.aries/org.apache.aries.util/1.1.1
2017-05-29 08:34:11,374 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.0.8
2017-05-29 08:34:11,375 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.0.8
2017-05-29 08:34:11,375 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.0.8
2017-05-29 08:34:11,375 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.0.8
2017-05-29 08:34:11,375 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.0.8
2017-05-29 08:34:11,376 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.0.8
2017-05-29 08:34:11,376 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.0.8
2017-05-29 08:34:11,376 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.0.8
2017-05-29 08:34:11,377 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.0.8
2017-05-29 08:34:11,377 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.0.8
